,X,Y
433,61332,4480
434,62100,4480
435,63380,4480
436,64916,4480
437,65172,4480
438,65684,4480
439,66196,4480
440,66452,4480
441,67988,4480
442,68244,4480
443,69780,4480
444,70292,4480
445,70548,4480
446,70804,4480
447,71060,4480
448,71316,4480
449,71572,4480
450,72852,4480
451,73108,4480
452,73620,4480
453,74132,4480
454,74388,4480
455,46576,4720
456,49648,4720
457,49904,4720
458,50416,4720
459,50672,4720
460,50928,4720
461,51184,4720
462,51696,4720
463,52208,4720
464,52976,4720
465,53488,4720
466,54000,4720
467,54512,4720
468,55280,4720
469,56048,4720
470,56304,4720
471,56560,4720
472,57328,4720
473,57840,4720
474,59540,4736
475,60308,4736
476,61076,4736
477,61332,4736
478,62356,4736
479,62612,4736
480,63380,4736
481,63636,4736
482,66196,4736
483,66452,4736
484,66708,4736
485,67476,4736
486,67732,4736
487,68500,4736
488,68756,4736
489,69780,4736
490,70548,4736
491,71316,4736
492,71828,4736
493,73108,4736
494,74132,4736
495,75156,4736
496,75412,4736
497,46576,4976
498,46832,4976
499,49392,4976
500,49648,4976
501,49904,4976
502,50160,4976
503,50416,4976
504,50672,4976
505,51184,4976
506,51440,4976
507,52208,4976
508,52464,4976
509,52720,4976
510,53488,4976
511,53744,4976
512,54000,4976
513,54256,4976
514,54512,4976
515,54768,4976
516,55536,4976
517,55792,4976
518,56560,4976
519,57072,4976
520,57328,4976
521,58096,4976
522,60564,4992
523,61332,4992
524,62612,4992
525,62868,4992
526,63380,4992
527,63636,4992
528,64148,4992
529,64660,4992
530,65172,4992
531,65940,4992
532,66196,4992
533,66964,4992
534,67732,4992
535,68244,4992
536,68500,4992
537,69012,4992
538,69268,4992
539,69780,4992
540,70036,4992
541,70292,4992
542,70804,4992
543,71572,4992
544,71828,4992
545,72596,4992
546,72852,4992
547,73620,4992
548,74388,4992
549,74644,4992
550,46576,5232
551,49648,5232
552,49904,5232
553,50672,5232
554,50928,5232
555,51696,5232
556,52208,5232
557,52720,5232
558,53488,5232
559,53744,5232
560,54000,5232
561,54256,5232
562,54768,5232
563,55024,5232
564,55280,5232
565,55536,5232
566,55792,5232
567,56048,5232
568,56560,5232
569,58096,5232
570,58352,5232
571,60308,5248
572,60564,5248
573,60820,5248
574,61844,5248
575,62612,5248
576,64660,5248
577,65428,5248
578,66196,5248
579,67476,5248
580,69268,5248
581,69524,5248
582,70292,5248
583,70804,5248
584,71316,5248
585,71572,5248
586,71828,5248
587,72596,5248
588,72852,5248
589,73620,5248
590,74388,5248
591,74900,5248
592,75156,5248
593,75668,5248
594,49392,5488
595,49648,5488
596,50416,5488
597,50672,5488
598,51184,5488
599,51696,5488
600,52208,5488
601,52464,5488
602,52976,5488
603,53232,5488
604,53488,5488
605,54512,5488
606,55536,5488
607,55792,5488
608,56304,5488
609,56560,5488
610,57584,5488
611,58352,5488
612,58608,5488
613,61076,5504
614,61332,5504
615,61588,5504
616,61844,5504
617,62100,5504
618,62356,5504
619,62612,5504
620,62868,5504
621,63124,5504
622,63380,5504
623,63892,5504
624,64148,5504
625,65172,5504
626,66452,5504
627,67476,5504
628,68756,5504
629,69268,5504
630,69780,5504
631,70548,5504
632,70804,5504
633,71316,5504
634,71572,5504
635,72084,5504
636,72340,5504
637,72596,5504
638,73876,5504
639,74132,5504
640,74388,5504
641,74644,5504
642,75412,5504
643,75668,5504
644,75924,5504
645,47600,5744
646,47856,5744
647,48112,5744
648,48368,5744
649,48624,5744
650,48880,5744
651,49136,5744
652,49392,5744
653,49648,5744
654,49904,5744
655,50416,5744
656,51184,5744
657,51696,5744
658,52720,5744
659,52976,5744
660,53232,5744
661,53744,5744
662,54256,5744
663,54512,5744
664,55024,5744
665,55536,5744
666,55792,5744
667,56048,5744
668,56560,5744
669,58352,5744
670,59120,5744
671,61588,5760
672,62100,5760
673,62356,5760
674,62612,5760
675,63124,5760
676,63636,5760
677,64404,5760
678,64916,5760
679,65172,5760
